impl,dtype,d,seq,fwd_ms,bwd_ms,e2e_ms,ok,error,est_peak_gib,source
flash_pytorch,bfloat16,64,512,395.4948425292969,404.1749267578125,408.694091796875,True,,,main
flash_triton,bfloat16,64,512,0.02155505532411755,0.6078599283569738,0.6199581551755595,True,,,main
naive,bfloat16,64,1024,0.1302984882442994,0.6273545795871366,0.6076162390744508,True,,,main
flash_pytorch,bfloat16,64,1024,1455.023193359375,1504.6727294921875,1428.4801025390625,True,,,main
flash_triton,bfloat16,64,1024,0.030962630934488252,0.5707747927672572,0.5869940394704992,True,,,main
naive,bfloat16,64,2048,0.13734021610496588,0.5806268688577872,0.5723311127059989,True,,,main
flash_pytorch,bfloat16,64,2048,6362.2734375,6363.705078125,6238.51806640625,True,,,main
flash_triton,bfloat16,64,2048,0.0637558062050131,0.7460159984501925,0.7220404536094306,True,,,main
naive,bfloat16,64,4096,0.4265833232699141,0.8526908785104752,0.8562949571920477,True,,,main
flash_pytorch,bfloat16,64,4096,27341.677734375,24144.197265625,24421.26953125,True,,,main
flash_triton,bfloat16,64,4096,0.1190796906287356,0.9995094544747296,0.9980003870115047,True,,,main
naive,bfloat16,64,8192,1.6852065126101177,3.1257258892059325,3.121778122584025,True,,,main
flash_pytorch,bfloat16,64,8192,91150.171875,90543.0625,92038.8359375,True,,,main
flash_triton,bfloat16,64,8192,0.2984381017296813,3.6458141528643093,3.6382203102111816,True,,,main
naive,bfloat16,128,128,0.1273514145758094,0.6384345792954967,0.7174366467422054,True,,,main
flash_pytorch,bfloat16,128,128,25.595088005065918,24.16651964187622,24.35873556137085,True,,,main
flash_triton,bfloat16,128,128,0.016742897952032824,0.5365204932415379,0.5279698697003451,True,,0.002,triton_d128_patch
naive,bfloat16,128,256,0.15122787700108956,0.5557520001342422,0.5689742000687201,True,,,main
flash_pytorch,bfloat16,128,256,90.42505645751953,91.8753890991211,90.26338958740234,True,,,main
flash_triton,bfloat16,128,256,0.01926522881090641,0.5667362752659567,0.5516872042851733,True,,0.005,triton_d128_patch
naive,bfloat16,128,512,0.13145744705095364,0.5633765436759611,0.6017275317742007,True,,,main
flash_pytorch,bfloat16,128,512,355.2906188964844,354.69866943359375,367.5114440917969,True,,,main
flash_triton,bfloat16,128,512,0.03122081343053269,0.5570746665199597,0.5554395611972025,True,,0.014,triton_d128_patch
naive,bfloat16,128,1024,0.12898109981975997,0.5892417316253369,0.5689052762328715,True,,,main
flash_pytorch,bfloat16,128,1024,1374.5360107421875,1387.2113037109375,1405.8116455078125,True,,,main
flash_triton,bfloat16,128,1024,0.05483957574081918,0.5653810122738714,0.5571669348080953,True,,0.043,triton_d128_patch
naive,bfloat16,128,2048,0.1258323906817902,0.6329450950230637,0.7346398943389942,True,,,main
flash_pytorch,bfloat16,128,2048,5715.35205078125,6290.99169921875,5757.79345703125,True,,,main
flash_triton,bfloat16,128,2048,0.10001968209382514,0.5881076666216055,0.5885260492805543,True,,0.148,triton_d128_patch
naive,bfloat16,128,4096,0.4464659509135456,0.899182333300511,0.9075953345745802,True,,,main
flash_pytorch,bfloat16,128,4096,22211.494140625,23940.12890625,23588.140625,True,,,main
flash_triton,bfloat16,128,4096,0.23573492506324356,1.7830489492416381,1.7891763257980347,True,,0.547,triton_d128_patch
naive,bfloat16,128,8192,1.7275061090037507,3.2366698034878434,3.236329933692669,True,,,main
flash_pytorch,bfloat16,128,8192,95116.828125,105558.2421875,88143.484375,True,,,main
flash_triton,bfloat16,128,8192,0.5571200008123693,6.277275816599528,6.27681713104248,True,,2.094,triton_d128_patch
